date,region,type,price,rainfall,fuel_price
2021-06-20,Antananarivo,Vary Gasy,2896.0,115.97963490721101,4274.12862118839
2021-06-27,Antananarivo,Vary Gasy,2872.0,114.90406417097464,4262.398720420725
2021-07-04,Antananarivo,Vary Gasy,2825.0,100.19543601594913,4285.776648957884
2021-07-11,Antananarivo,Vary Gasy,2778.0,122.91684486986068,4272.104821245257
2021-07-18,Antananarivo,Vary Gasy,2852.0,86.40854307269439,4286.81952971295
2021-07-25,Antananarivo,Vary Gasy,2747.0,74.89967692140583,4277.369053170916
2021-08-01,Antananarivo,Vary Gasy,2740.0,86.8410498364495,4278.8177931676655
2021-08-08,Antananarivo,Vary Gasy,2811.0,94.01725527432535,4278.533395307864
2021-08-15,Antananarivo,Vary Gasy,2707.0,77.90284884093674,4293.877532271531
2021-08-22,Antananarivo,Vary Gasy,2599.0,19.45544295904238,4315.204315165667
2021-08-29,Antananarivo,Vary Gasy,2570.0,51.309830299286965,4305.129314542756
2021-09-05,Antananarivo,Vary Gasy,2550.0,46.16614174571459,4306.538227275275
2021-09-12,Antananarivo,Vary Gasy,2523.0,57.22291974654415,4293.519156585026
2021-09-19,Antananarivo,Vary Gasy,2445.0,37.73476655163704,4325.101113662482
2021-09-26,Antananarivo,Vary Gasy,2501.0,79.67417925128254,4323.57659623202
2021-10-03,Antananarivo,Vary Gasy,2450.0,43.99101459648967,4318.454371710097
2021-10-10,Antananarivo,Vary Gasy,2448.0,34.087909009254226,4327.193465142412
2021-10-17,Antananarivo,Vary Gasy,2486.0,23.031311356943313,4317.058630864823
2021-10-24,Antananarivo,Vary Gasy,2401.0,54.20328362980417,4329.976760985488
2021-10-31,Antananarivo,Vary Gasy,2335.0,102.14240821486422,4336.562266850499
2021-11-07,Antananarivo,Vary Gasy,2469.0,44.58499433350516,4344.723206367206
2021-11-14,Antananarivo,Vary Gasy,2362.0,61.59915937261418,4349.263091264811
2021-11-21,Antananarivo,Vary Gasy,2307.0,56.24053204661068,4321.761042756902
2021-11-28,Antananarivo,Vary Gasy,2323.0,34.84561108180067,4350.124764588053
2021-12-05,Antananarivo,Vary Gasy,2309.0,88.19960380260852,4336.7976679297935
2021-12-12,Antananarivo,Vary Gasy,2455.0,82.46429459954362,4350.677788110128
2021-12-19,Antananarivo,Vary Gasy,2291.0,116.8222224898773,4355.854601547474
2021-12-26,Antananarivo,Vary Gasy,2455.0,93.52918678135055,4359.945150417023
2022-01-02,Antananarivo,Vary Gasy,2415.0,102.66069245643213,4359.499345285208
2022-01-09,Antananarivo,Vary Gasy,2471.0,80.34363872237692,4372.8549180997525
2022-01-16,Antananarivo,Vary Gasy,2391.0,139.15144431467547,4374.323140119796
2022-01-23,Antananarivo,Vary Gasy,2462.0,121.58039967645826,4390.01262854733
2022-01-30,Antananarivo,Vary Gasy,2636.0,159.79559435686295,4375.510358515209
2022-02-06,Antananarivo,Vary Gasy,2618.0,159.51723782572773,4390.278251684801
2022-02-13,Antananarivo,Vary Gasy,2659.0,99.17784863272107,4373.167414873342
2022-02-20,Antananarivo,Vary Gasy,2543.0,142.47342972766535,4366.791341718696
2022-02-27,Antananarivo,Vary Gasy,2766.0,114.42889111742609,4374.966175606449
2022-03-06,Antananarivo,Vary Gasy,2722.0,144.85756068913471,4399.5311932708555
2022-03-13,Antananarivo,Vary Gasy,2699.0,160.6732703479579,4402.665982460969
2022-03-20,Antananarivo,Vary Gasy,2755.0,163.8397777075189,4399.593076919689
2022-03-27,Antananarivo,Vary Gasy,2790.0,159.87688011771584,4400.697423816276
2022-04-03,Antananarivo,Vary Gasy,2835.0,121.29553664971738,4407.584671760867
2022-04-10,Antananarivo,Vary Gasy,3005.0,150.13915055105159,4406.002744920074
2022-04-17,Antananarivo,Vary Gasy,2948.0,165.20061272021763,4410.296362774645
2022-04-24,Antananarivo,Vary Gasy,2937.0,134.69817129676105,4417.249483028483
2022-05-01,Antananarivo,Vary Gasy,2872.0,131.0548322816952,4401.57869943758
2022-05-08,Antananarivo,Vary Gasy,3036.0,146.54900040691797,4457.788808084552
2022-05-15,Antananarivo,Vary Gasy,3078.0,166.95362590820056,4405.932529431365
2022-05-22,Antananarivo,Vary Gasy,2996.0,103.6576614698747,4427.534271157575
2022-05-29,Antananarivo,Vary Gasy,2987.0,131.62647657765447,4446.605641223711
2022-06-05,Antananarivo,Vary Gasy,3043.0,151.62482199532528,4441.773683076476
2022-06-12,Antananarivo,Vary Gasy,2999.0,107.66033293375602,4460.320381829638
2022-06-19,Antananarivo,Vary Gasy,2992.0,83.02005115270308,4457.261775475316
2022-06-26,Antananarivo,Vary Gasy,3122.0,105.2806561231842,4452.773654785372
2022-07-03,Antananarivo,Vary Gasy,2980.0,88.96657031334946,4449.076060757611
2022-07-10,Antananarivo,Vary Gasy,2952.0,42.65484972076197,4465.346422015552
2022-07-17,Antananarivo,Vary Gasy,2962.0,68.66545212276769,4456.232286694317
2022-07-24,Antananarivo,Vary Gasy,2988.0,91.6809339324093,4467.575034851591
2022-07-31,Antananarivo,Vary Gasy,2840.0,86.55356849216419,4462.3737624105415
2022-08-07,Antananarivo,Vary Gasy,2923.0,76.20588438111051,4445.090451555403
2022-08-14,Antananarivo,Vary Gasy,2877.0,47.87499702406103,4482.385924587774
2022-08-21,Antananarivo,Vary Gasy,2749.0,117.48111783025388,4463.389943900448
2022-08-28,Antananarivo,Vary Gasy,2757.0,50.512615144471674,4493.062928092145
2022-09-04,Antananarivo,Vary Gasy,2738.0,77.33461755982341,4494.216381493014
2022-09-11,Antananarivo,Vary Gasy,2611.0,36.92403772106943,4495.770721271805
2022-09-18,Antananarivo,Vary Gasy,2693.0,54.594058156189064,4494.393939191456
2022-09-25,Antananarivo,Vary Gasy,2678.0,47.131189737123535,4508.677820616598
2022-10-02,Antananarivo,Vary Gasy,2658.0,38.121253846520474,4506.383285184606
2022-10-09,Antananarivo,Vary Gasy,2639.0,42.08368562922709,4506.897748568964
2022-10-16,Antananarivo,Vary Gasy,2700.0,46.30893674370648,4516.976169376614
2022-10-23,Antananarivo,Vary Gasy,2474.0,33.46118960269209,4492.292080789742
2022-10-30,Antananarivo,Vary Gasy,2542.0,24.600376007917298,4514.66053418644
2022-11-06,Antananarivo,Vary Gasy,2588.0,15.200340869474246,4520.356145581086
2022-11-13,Antananarivo,Vary Gasy,2577.0,66.53303645421225,4527.189366744697
2022-11-20,Antananarivo,Vary Gasy,2550.0,59.26276367023489,4531.327818661063
2022-11-27,Antananarivo,Vary Gasy,2647.0,62.630333863196036,4532.538205586793
2022-12-04,Antananarivo,Vary Gasy,2579.0,60.46685639480213,4532.715662372194
2022-12-11,Antananarivo,Vary Gasy,2522.0,76.17332034483523,4543.791386845853
2022-12-18,Antananarivo,Vary Gasy,2545.0,69.32865003414551,4534.557067399239
2022-12-25,Antananarivo,Vary Gasy,2594.0,114.12192150193546,4552.235574475201
2023-01-01,Antananarivo,Vary Gasy,2616.0,138.39658405895304,4538.262108008964
2023-01-08,Antananarivo,Vary Gasy,2558.0,110.2758226772805,4557.855653983499
2023-01-15,Antananarivo,Vary Gasy,2680.0,111.65597133760025,4555.799686263198
2023-01-22,Antananarivo,Vary Gasy,2622.0,114.4293027511306,4556.969154349503
2023-01-29,Antananarivo,Vary Gasy,2717.0,138.45202448376327,4564.810092317367
2023-02-05,Antananarivo,Vary Gasy,2759.0,134.04489232416302,4552.102455718433
2023-02-12,Antananarivo,Vary Gasy,2865.0,123.49786741302358,4557.103951797414
2023-02-19,Antananarivo,Vary Gasy,2818.0,188.68911245867787,4575.739526671078
2023-02-26,Antananarivo,Vary Gasy,2855.0,133.020909919342,4563.8789562473985
2023-03-05,Antananarivo,Vary Gasy,2820.0,140.0014758940497,4583.781400134807
2023-03-12,Antananarivo,Vary Gasy,2925.0,180.37323340288265,4578.404086486364
2023-03-19,Antananarivo,Vary Gasy,2906.0,148.5719536659963,4571.308549547981
2023-03-26,Antananarivo,Vary Gasy,3006.0,163.63502264096599,4606.489560949453
2023-04-02,Antananarivo,Vary Gasy,3778.0,158.9038094209717,4591.642118888162
2023-04-09,Antananarivo,Vary Gasy,3142.0,153.0748363440976,4581.603715018062
2023-04-16,Antananarivo,Vary Gasy,3124.0,130.97959619827662,4582.380388203499
2023-04-23,Antananarivo,Vary Gasy,3116.0,169.11397141283712,4624.564840154276
2023-04-30,Antananarivo,Vary Gasy,3139.0,150.06272352068837,4617.165008299251
2023-05-07,Antananarivo,Vary Gasy,3200.0,177.1872947315181,4593.653215180172
2023-05-14,Antananarivo,Vary Gasy,3344.0,129.9304587435483,4614.882962621215
2023-05-21,Antananarivo,Vary Gasy,3222.0,129.0790947522747,4621.1379541358065
2023-05-28,Antananarivo,Vary Gasy,3209.0,152.42353004466756,4597.756764359134
2023-06-04,Antananarivo,Vary Gasy,3229.0,94.57832406730728,4605.914967204315
2023-06-11,Antananarivo,Vary Gasy,3277.0,120.14492468348712,4636.282929821163
2023-06-18,Antananarivo,Vary Gasy,3284.0,119.92177525522102,4627.24190434398
2023-06-25,Antananarivo,Vary Gasy,3159.0,110.20182948384803,4626.340241930738
2023-07-02,Antananarivo,Vary Gasy,3215.0,116.9698483068471,4642.273837156925
2023-07-09,Antananarivo,Vary Gasy,3195.0,113.66463437336408,4635.42562714092
2023-07-16,Antananarivo,Vary Gasy,3220.0,74.2481071048463,4653.4971608059595
2023-07-23,Antananarivo,Vary Gasy,3119.0,85.2426164387694,4637.740201917083
2023-07-30,Antananarivo,Vary Gasy,3044.0,74.01309182662003,4673.784787281884
2023-08-06,Antananarivo,Vary Gasy,2943.0,55.425335101513355,4670.707680234673
2023-08-13,Antananarivo,Vary Gasy,3002.0,103.67611433556092,4669.030252667778
2023-08-20,Antananarivo,Vary Gasy,3078.0,89.30157819621951,4662.767931596804
2023-08-27,Antananarivo,Vary Gasy,2981.0,45.09745172953575,4683.109502663319
2023-09-03,Antananarivo,Vary Gasy,2955.0,47.11282256428962,4662.03790638177
2023-09-10,Antananarivo,Vary Gasy,2878.0,70.0447797058158,4671.011371229548
2023-09-17,Antananarivo,Vary Gasy,3007.0,44.928784382625814,4686.930659028899
2023-09-24,Antananarivo,Vary Gasy,2769.0,30.545496385134484,4680.472078293696
2023-10-01,Antananarivo,Vary Gasy,2822.0,45.500344945782984,4694.575921704302
2023-10-08,Antananarivo,Vary Gasy,2844.0,80.40832214038917,4684.723041493892
2023-10-15,Antananarivo,Vary Gasy,2811.0,50.50063127089313,4678.308850719733
2023-10-22,Antananarivo,Vary Gasy,2701.0,56.21267410144068,4695.359997566773
2023-10-29,Antananarivo,Vary Gasy,2758.0,63.28832669185138,4686.011716659184
2023-11-05,Antananarivo,Vary Gasy,2669.0,32.34325579164895,4716.549783757366
2023-11-12,Antananarivo,Vary Gasy,2688.0,46.71236689968124,4702.742291727785
2023-11-19,Antananarivo,Vary Gasy,2767.0,55.02897812512161,4709.175079056936
2023-11-26,Antananarivo,Vary Gasy,2814.0,97.35557286412197,4717.39036203215
2023-12-03,Antananarivo,Vary Gasy,2722.0,77.04945603438182,4716.670503853485
2023-12-10,Antananarivo,Vary Gasy,2765.0,85.21494218680502,4713.675169825419
2023-12-17,Antananarivo,Vary Gasy,2678.0,140.18591103889287,4713.670598812211
2023-12-24,Antananarivo,Vary Gasy,2738.0,90.1340020102602,4722.959632840332
2023-12-31,Antananarivo,Vary Gasy,2809.0,115.83298295845584,4727.331236755227
2024-01-07,Antananarivo,Vary Gasy,2767.0,132.96751787154835,4744.474061148626
2024-01-14,Antananarivo,Vary Gasy,2785.0,166.77120510569583,4735.796578575276
2024-01-21,Antananarivo,Vary Gasy,2909.0,146.56726767979794,4719.454879281348
2024-01-28,Antananarivo,Vary Gasy,2993.0,132.88101564973434,4743.45296239741
2024-02-04,Antananarivo,Vary Gasy,3012.0,123.97300984707704,4755.458575287185
2024-02-11,Antananarivo,Vary Gasy,2942.0,109.35502900768648,4774.977046432344
2024-02-18,Antananarivo,Vary Gasy,2970.0,121.22799799141636,4750.492081339593
2024-02-25,Antananarivo,Vary Gasy,3128.0,144.4433508534204,4755.911359773436
2024-03-03,Antananarivo,Vary Gasy,3074.0,153.2946451431613,4766.940382706492
2024-03-10,Antananarivo,Vary Gasy,3144.0,141.69723578464357,4753.465408290281
2024-03-17,Antananarivo,Vary Gasy,3146.0,135.53215897138796,4774.518573320402
2024-03-24,Antananarivo,Vary Gasy,3238.0,153.7633642354579,4768.508108402413
2024-03-31,Antananarivo,Vary Gasy,3199.0,162.36234889242314,4768.4629551932685
2024-04-07,Antananarivo,Vary Gasy,3260.0,139.6400431177993,4781.685634933715
2024-04-14,Antananarivo,Vary Gasy,3322.0,150.53681510222856,4765.501630886764
2024-04-21,Antananarivo,Vary Gasy,3240.0,150.39157515156248,4765.691846258063
2024-04-28,Antananarivo,Vary Gasy,3507.0,142.66068926422687,4796.954098999771
2024-05-05,Antananarivo,Vary Gasy,3257.0,123.7502861943398,4789.190092610603
2024-05-12,Antananarivo,Vary Gasy,3298.0,147.76803462633717,4792.492870516628
2024-05-19,Antananarivo,Vary Gasy,3351.0,116.33491241568359,4798.4559216447005
2024-05-26,Antananarivo,Vary Gasy,3376.0,129.55404729010203,4811.804734204358
2024-06-02,Antananarivo,Vary Gasy,3505.0,139.9676241491177,4816.037138693906
2024-06-09,Antananarivo,Vary Gasy,3418.0,140.11882081641573,4809.136177599502
2024-06-16,Antananarivo,Vary Gasy,3393.0,106.97838785630071,4800.3110373425825
2024-06-23,Antananarivo,Vary Gasy,3360.0,112.79351225666674,4809.204834519509
2024-06-30,Antananarivo,Vary Gasy,3437.0,98.53528237286638,4821.296279301637
2024-07-07,Antananarivo,Vary Gasy,3817.0,94.99194610261162,4835.284518626073
2024-07-14,Antananarivo,Vary Gasy,3759.0,76.58691054707809,4816.088196903899
2024-07-21,Antananarivo,Vary Gasy,3333.0,74.90061297315884,4822.795684329538
2024-07-28,Antananarivo,Vary Gasy,3726.0,82.78509583998384,4839.078965097166
2024-08-04,Antananarivo,Vary Gasy,3280.0,75.53145347730135,4840.585123483775
2024-08-11,Antananarivo,Vary Gasy,3295.0,46.711876151324546,4841.329696741469
2024-08-18,Antananarivo,Vary Gasy,3174.0,53.3362621036532,4844.778026973668
2024-08-25,Antananarivo,Vary Gasy,3149.0,66.71733492899463,4862.6552402923435
2024-09-01,Antananarivo,Vary Gasy,3141.0,21.979518762548146,4846.435071233037
2024-09-08,Antananarivo,Vary Gasy,3040.0,9.487684315699397,4858.400144500533
2024-09-15,Antananarivo,Vary Gasy,3055.0,74.04017463733376,4870.605438246922
2024-09-22,Antananarivo,Vary Gasy,3083.0,48.460779524739614,4879.466369960477
2024-09-29,Antananarivo,Vary Gasy,2968.0,67.96193784246994,4862.434328315687
2024-10-06,Antananarivo,Vary Gasy,2932.0,79.1643967367676,4867.178488216075
2024-10-13,Antananarivo,Vary Gasy,3027.0,56.68836438932039,4869.199435644036
2024-10-20,Antananarivo,Vary Gasy,2978.0,61.96136830325153,4881.427227598675
2024-10-27,Antananarivo,Vary Gasy,2999.0,80.38496802677324,4883.414045670195
2024-11-03,Antananarivo,Vary Gasy,2884.0,94.46027733992592,4881.598420493557
2024-11-10,Antananarivo,Vary Gasy,2837.0,30.256616626146105,4891.147010625362
2024-11-17,Antananarivo,Vary Gasy,2880.0,28.487004439442103,4884.476936807509
2024-11-24,Antananarivo,Vary Gasy,2780.0,91.43041677662313,4881.563710539366
2024-12-01,Antananarivo,Vary Gasy,2855.0,75.10908087137099,4895.963974609094
2024-12-08,Antananarivo,Vary Gasy,2853.0,92.01154842874536,4917.316250904254
2024-12-15,Antananarivo,Vary Gasy,3174.0,89.06405001806586,4889.146281343303
2024-12-22,Antananarivo,Vary Gasy,2882.0,105.7783834197043,4896.712333521387
2024-12-29,Antananarivo,Vary Gasy,2962.0,93.65869590724932,4912.105679776286
2020-01-05,Antananarivo,Makalioka,2601.0,73.6232654226756,4008.611276689586
2020-01-12,Antananarivo,Makalioka,2591.0,120.69763213853255,4008.680669438451
2020-01-19,Antananarivo,Makalioka,2679.0,129.09166870315866,4026.7654427372822
2020-01-26,Antananarivo,Makalioka,2642.0,151.61007640482316,4027.356483014192
2020-02-02,Antananarivo,Makalioka,2660.0,120.93418868588604,4035.6365649922473
2020-02-09,Antananarivo,Makalioka,2703.0,91.23837244964207,4023.2119392056798
2020-02-16,Antananarivo,Makalioka,2778.0,146.3020241139863,4001.025886565405
2020-02-23,Antananarivo,Makalioka,2790.0,124.87567758776761,4020.3768688126515
2020-03-01,Antananarivo,Makalioka,2769.0,136.64036319005663,4031.517546765937
2020-03-08,Antananarivo,Makalioka,2936.0,140.55361448234336,4045.3444211168567
2020-03-15,Antananarivo,Makalioka,2957.0,210.15383776294948,4038.4740263664235
2020-03-22,Antananarivo,Makalioka,2938.0,150.8997942288685,4054.1870901101092
2020-03-29,Antananarivo,Makalioka,2918.0,161.95817768127876,4053.335467745027
2020-04-05,Antananarivo,Makalioka,2986.0,122.57215191668608,4038.775105268697
2020-04-12,Antananarivo,Makalioka,2948.0,163.96673293022457,4041.8271205004394
2020-04-19,Antananarivo,Makalioka,3175.0,172.93096865312407,4054.8064091026436
2020-04-26,Antananarivo,Makalioka,3002.0,143.02127020430268,4048.6404808079997
2020-05-03,Antananarivo,Makalioka,3221.0,109.3469222773468,4077.6169205611905
2020-05-10,Antananarivo,Makalioka,3204.0,112.24267264963109,4073.7305215900315
2020-05-17,Antananarivo,Makalioka,3260.0,165.41629254582972,4052.4371537141674
2020-05-24,Antananarivo,Makalioka,3157.0,127.07280607200946,4079.9554858536226
2020-05-31,Antananarivo,Makalioka,3288.0,113.2625188639999,4071.865326632978
2020-06-07,Antananarivo,Makalioka,3135.0,93.74947848320676,4061.8740449916118
2020-06-14,Antananarivo,Makalioka,3214.0,70.93394886572933,4087.572116830124
2020-06-21,Antananarivo,Makalioka,3231.0,111.61851148005594,4094.894367093604
2020-06-28,Antananarivo,Makalioka,3155.0,93.13101104762796,4088.991772603449
2020-07-05,Antananarivo,Makalioka,3133.0,99.94943105379315,4082.054367675862
2020-07-12,Antananarivo,Makalioka,3114.0,41.06385499587547,4079.055355063935
2020-07-19,Antananarivo,Makalioka,3142.0,92.90206149701639,4077.1211096539937
2020-07-26,Antananarivo,Makalioka,3096.0,81.16178167933653,4097.555781529215
2020-08-02,Antananarivo,Makalioka,3044.0,64.294758788165,4099.0616349100155
2020-08-09,Antananarivo,Makalioka,3077.0,44.182408819485744,4107.983715277077
2020-08-16,Antananarivo,Makalioka,3360.0,67.79157700866276,4113.667696195966
2020-08-23,Antananarivo,Makalioka,2985.0,54.99874036187974,4117.306454642754
2020-08-30,Antananarivo,Makalioka,2981.0,66.9616903281789,4128.903534110375
2020-09-06,Antananarivo,Makalioka,2862.0,45.32067087712228,4106.365313397316
2020-09-13,Antananarivo,Makalioka,2927.0,46.82478042426413,4120.923202175343
2020-09-20,Antananarivo,Makalioka,2912.0,64.58726071152815,4128.384779423411
2020-09-27,Antananarivo,Makalioka,2860.0,42.77196455098957,4140.52875677614
2020-10-04,Antananarivo,Makalioka,2722.0,32.15051880455144,4123.094713966175
2020-10-11,Antananarivo,Makalioka,2830.0,74.36628702406975,4160.283571922302
2020-10-18,Antananarivo,Makalioka,2861.0,74.68692846145521,4121.9877038212935
2020-10-25,Antananarivo,Makalioka,3287.0,87.48961256259557,4157.098170893426
2020-11-01,Antananarivo,Makalioka,2606.0,43.84929881660116,4151.091421222724
2020-11-08,Antananarivo,Makalioka,2764.0,33.193758111189275,4137.546012530431
2020-11-15,Antananarivo,Makalioka,2818.0,79.53011163505246,4164.299730755168
2020-11-22,Antananarivo,Makalioka,2728.0,84.75472828997898,4163.811914239694
2020-11-29,Antananarivo,Makalioka,2692.0,85.62791833620439,4164.163134730913
2020-12-06,Antananarivo,Makalioka,2661.0,60.15377839668297,4156.964106827842
2020-12-13,Antananarivo,Makalioka,2624.0,93.51265167294561,4186.645175625896
2020-12-20,Antananarivo,Makalioka,2773.0,71.78559492015992,4172.75366850003
2020-12-27,Antananarivo,Makalioka,2705.0,108.43976268368804,4196.966265008305
2021-01-03,Antananarivo,Makalioka,2785.0,70.7211086905293,4186.404747379604
2021-01-10,Antananarivo,Makalioka,2870.0,107.06177387287354,4179.710367448059
2021-01-17,Antananarivo,Makalioka,2833.0,116.87007170467612,4194.432980290364
2021-01-24,Antananarivo,Makalioka,2848.0,128.09824378683646,4197.49637101126
2021-01-31,Antananarivo,Makalioka,2832.0,100.55628248477952,4189.070948022041
2021-02-07,Antananarivo,Makalioka,2974.0,119.21488047596583,4217.695730466987
2021-02-14,Antananarivo,Makalioka,2931.0,118.26597528738722,4224.451491277734
2021-02-21,Antananarivo,Makalioka,3038.0,124.31658426398278,4202.95892358552
2021-02-28,Antananarivo,Makalioka,3075.0,143.3670840159586,4208.529979983715
2021-03-07,Antananarivo,Makalioka,3016.0,150.70571512742106,4228.094936033835
2021-03-14,Antananarivo,Makalioka,3049.0,131.47933445536307,4233.391168054441
2021-03-21,Antananarivo,Makalioka,3221.0,171.14630624324755,4223.52685348996
2021-03-28,Antananarivo,Makalioka,3183.0,142.28369383565806,4221.964196398976
